loinc_num,component,system,scale_typ,long_common_name,example_ucum_units,displayname
"62238-1","Glomerular filtration rate/1.73 sq M.predicted","Ser/Plas/Bld","Qn","Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)","mL/min/{1.73_m2}","GFR/1.73 sq M.predicted CKD-EPI (S/P/Bld) [Vol rate/Area]"
"3582-4","Doxepin+Nordoxepin","Ser/Plas","Qn","Doxepin+Nordoxepin [Mass/volume] in Serum or Plasma","ng/mL","Doxepin+Nordoxepin [Mass/Vol]"
"22312-3","Hepatitis A virus Ab","Ser","Qn","Hepatitis A virus Ab [Units/volume] in Serum","[arb'U]/mL","HAV Ab Qn (S)"
"3035-3","Transferrin","Urine","Qn","Transferrin [Mass/volume] in Urine","mg/dL","Transferrin (U) [Mass/Vol]"
"43300-3","HTLV I+II p24 Ab","Ser","Ord","HTLV I+II p24 Ab [Presence] in Serum","","HTLV I+II p24 Ab Ql (S)"
"93450-5","Coagulation factor VIII Inhibitor","PPP","Qn","Coagulation factor VIII inhibitor [Units/volume] in Platelet poor plasma by Chromogenic method","[beth'U]/mL","Coagulation factor VIII inhibitor Chromogenic method Qn (PPP)"
"34714-6","Coagulation tissue factor induced.INR","Bld","Qn","INR in Blood by Coagulation assay","{INR}","INR Coag (Bld) [Relative time]"
"8219-8","Opiates","Ser/Plas","Ord","Opiates [Presence] in Serum or Plasma by Screen method","","Opiates Screen Ql"
"78889-3","Tricyclic antidepressants","Urine","Ord","Tricyclic antidepressants [Presence] in Urine by Screen method >300 ng/mL","","Tricyclic antidepressants Screen method >300 ng/mL Ql (U)"
"39480-9","Glucose","BldV","Qn","Glucose [Moles/volume] in Venous blood","mmol/L","Glucose (BldV) [Moles/Vol]"
"40435-0","Fungus identified","Urine","Nom","Fungus identified in Urine by Culture","","Fungus identified Cx Nom (U)"
"2695-5","Osmolality","Urine","Qn","Osmolality of Urine","mosm/kg","Osmolality (U) [Osmolality]"
"4083-2","Trimipramine","Ser/Plas","Qn","Trimipramine [Mass/volume] in Serum or Plasma","ng/mL","Trimipramine [Mass/Vol]"
"5209-2","Herpes simplex virus 2 Ab.IgG","Ser","Qn","Herpes simplex virus 2 IgG Ab [Units/volume] in Serum by Immunoassay","{Index_val}","HSV 2 IgG IA Qn (S)"
"30350-3","Hemoglobin","BldV","Qn","Hemoglobin [Mass/volume] in Venous blood","g/dL","Hemoglobin (BldV) [Mass/Vol]"
"53731-6","Posaconazole","Ser/Plas","Qn","Posaconazole [Mass/volume] in Serum or Plasma","ug/mL","Posaconazole [Mass/Vol]"
"14835-3","Methanol","Ser/Plas","Qn","Methanol [Moles/volume] in Serum or Plasma","mmol/L","Methanol [Moles/Vol]"
"53622-7","von Willebrand factor cleaving protease actual/normal","PPP","Qn","von Willebrand factor (vWf) cleaving protease actual/normal in Platelet poor plasma by Chromogenic method","%","vWf cleaving protease actual/normal Chromogenic method (PPP) [Rel catalytic activity/Vol]"
"786-4","Erythrocyte mean corpuscular hemoglobin concentration","RBC","Qn","MCHC [Mass/volume] by Automated count","g/dL","MCHC Auto (RBC) [Mass/Vol]"
"28541-1","Metamyelocytes/100 leukocytes","Bld","Qn","Metamyelocytes/100 leukocytes in Blood","%","Metamyelocytes/100 WBC (Bld)"
"3232-6","Coagulation factor XII activity actual/Normal","PPP","Qn","Coagulation factor XII activity actual/normal in Platelet poor plasma by Coagulation assay","%","Coagulation factor XII activity actual/normal Coag (PPP) [Relative time]"
"32713-0","Potassium","BldA","Qn","Potassium [Moles/volume] in Arterial blood","mmol/L","Potassium (BldA) [Moles/Vol]"
"14933-6","Urate","Ser/Plas","Qn","Urate [Moles/volume] in Serum or Plasma","umol/L","Urate [Moles/Vol]"
"14414-7","Aspartate aminotransferase","Dial fld","Qn","Aspartate aminotransferase [Enzymatic activity/volume] in Dialysis fluid","U/L","AST (Dial fld) [Catalytic activity/Vol]"
"46424-8","Hemolysis interference index","Ser/Plas","Qn","Hemolysis interference index of Serum or Plasma","[arb'U]/mL","Hemolysis interference index Qn"
"68438-1","Calcidiol+ercalcidiol","Ser/Plas","Qn","25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Moles/volume] in Serum or Plasma","nmol/L","25-hydroxyvitamin D [Moles/Vol]"
"66129-8","Fentanyl+Norfentanyl","Urine","Ord","fentaNYL+Norfentanyl [Presence] in Urine by Confirmatory method","","fentaNYL+Norfentanyl Confirm Ql (U)"
"14835-3","Methanol","Ser/Plas","Qn","Methanol [Moles/volume] in Serum or Plasma","mmol/L","Methanol [Moles/Vol]"
"3494-2","clonazePAM","Ser/Plas","Qn","clonazePAM [Mass/volume] in Serum or Plasma","ug/mL","clonazePAM [Mass/Vol]"
"3552-7","diazePAM^trough","Ser/Plas","Qn","diazePAM [Mass/volume] in Serum or Plasma --trough","ng/mL","diazePAM trough [Mass/Vol]"
"8047-3","Varicella zoster virus Ab.IgG","Ser","Qn","Varicella zoster virus IgG Ab [Units/volume] in Serum","[arb'U]/mL","VZV IgG Qn (S)"
"21476-7","Potassium","Urine","Qn","Potassium [Moles/volume] in 24 hour Urine","mmol/L","Potassium (24H U) [Moles/Vol]"
"15074-8","Glucose","Bld","Qn","Glucose [Moles/volume] in Blood","mmol/L","Glucose (Bld) [Moles/Vol]"
"70147-4","Methadone","Urine","Qn","Methadone [Mass/volume] in Urine by Screen method","ng/mL","Methadone Screen (U) [Mass/Vol]"
"3415-7","Buprenorphine","Urine","Qn","Buprenorphine [Mass/volume] in Urine","ng/mL","Buprenorphine (U) [Mass/Vol]"
"40155-4","Glucose^15M post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --15 minutes post XXX challenge","mmol/L","Glucose 15 Min post Unsp challenge [Moles/Vol]"
"2075-0","Chloride","Ser/Plas","Qn","Chloride [Moles/volume] in Serum or Plasma","mmol/L","Chloride [Moles/Vol]"
"46269-7","Ercalcidiol","Ser/Plas","Qn","25-hydroxyvitamin D2 [Moles/volume] in Serum or Plasma","nmol/L","25-hydroxyvitamin D2 [Moles/Vol]"
"2888-6","Protein","Urine","Qn","Protein [Mass/volume] in Urine","g/dL","Protein (U) [Mass/Vol]"
"14800-7","Iron binding capacity","Ser/Plas","Qn","Iron binding capacity [Moles/volume] in Serum or Plasma","umol/L","Iron binding capacity [Moles/Vol]"
"2756-5","pH","Urine","Qn","pH of Urine","[pH]","pH (U)"
"74982-0","FLUoxetine^trough","Ser/Plas","Qn","FLUoxetine [Mass/volume] in Serum or Plasma --trough","ug/L","FLUoxetine trough [Mass/Vol]"
"3193-0","Coagulation factor V activity actual/Normal","PPP","Qn","Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay","%","Coagulation factor V activity actual/normal Coag (PPP) [Relative time]"
"73581-1","Anion gap 4","BldA","Qn","Anion gap 4 in Arterial blood","mmol/L","Anion gap 4 (BldA) [Moles/Vol]"
"27816-8","von Willebrand factor Ag actual/Normal","PPP","Qn","von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunoassay","%","vWf Ag actual/normal IA (PPP) [Relative mass conc]"
"53967-6","Erythrocytes.dysmorphic/100 erythrocytes","Urine sed","Qn","Erythrocytes.dysmorphic/100 erythrocytes in Urine sediment by Light microscopy","%","RBC.dysmorphic/100 RBC LM (Urine sed)"
"77349-9","Everolimus^trough","Bld","Qn","Everolimus [Mass/volume] in Blood by LC/MS/MS --trough","ng/mL","Everolimus trough LC/MS/MS (Bld) [Mass/Vol]"
"32185-1","Itraconazole^trough","Ser/Plas","Qn","Itraconazole [Mass/volume] in Serum or Plasma --trough","ug/mL","Itraconazole trough [Mass/Vol]"
"22749-6","Amylase.pancreatic","Urine","Qn","Amylase.pancreatic [Enzymatic activity/volume] in Urine","U/L","Amylase.pancreatic (U) [Catalytic activity/Vol]"
"47274-6","S100 calcium binding protein B","CSF","Qn","S100 calcium binding protein B [Mass/volume] in Cerebral spinal fluid","ug/L","S100 calcium binding protein B (CSF) [Mass/Vol]"
"22689-4","Zinc","Urine","Qn","Zinc [Moles/time] in 24 hour Urine","umol/(24.h)","Zinc (24H U) [Moles/Time]"
"10633-6","Zinc","Semen","Qn","Zinc [Moles/volume] in Semen","umol/L","Zinc (Sem) [Moles/Vol]"
"26508-2","Neutrophils.band form/100 leukocytes","Bld","Qn","Band form neutrophils/100 leukocytes in Blood","%","Band form neutrophils/100 WBC (Bld)"
"4544-3","Hematocrit","Bld","Qn","Hematocrit [Volume Fraction] of Blood by Automated count","%","Hematocrit Auto (Bld) [Volume fraction]"
"11580-8","Thyrotropin","Ser/Plas","Qn","Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L","m[IU]/L","TSH DL <= 0.005 mIU/L Qn"
"2711-0","Oxygen saturation","BldV","Qn","Oxygen saturation in Venous blood","%",""
"15074-8","Glucose","Bld","Qn","Glucose [Moles/volume] in Blood","mmol/L","Glucose (Bld) [Moles/Vol]"
"24518-3","Calcium/Creatinine","Urine","Qn","Calcium/Creatinine [Molar ratio] in Urine","mol/mol{creat}","Calcium/Creatinine (U) [Molar ratio]"
"27818-4","Protein C actual/Normal","PPP","Qn","Protein C actual/normal in Platelet poor plasma by Chromogenic method","%","Protein C actual/normal Chromogenic method (PPP) [Rel catalytic activity/Vol]"
"32313-9","Cortisol^30M post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --30 minutes post XXX challenge","nmol/L","Cortisol 30 Min post Unsp challenge [Moles/Vol]"
"13068-2","Nuclear Ab pattern","Ser","Nom","Nuclear Ab pattern [Interpretation] in Serum by Immunofluorescence","","Nuclear Ab pattern IF (S) [Interp]"
"3344-9","Amoxicillin","Ser/Plas","Qn","Amoxicillin [Mass/volume] in Serum or Plasma","ug/mL","Amoxicillin [Mass/Vol]"
"42810-2","Hemoglobin","Retic","Qn","Hemoglobin [Entitic mass] in Reticulocytes","pg","Hemoglobin (Reticulocytes) [Entitic mass]"
"753-4","Neutrophils","Bld","Qn","Neutrophils [#/volume] in Blood by Manual count","10*3/uL","Neutrophils Manual cnt (Bld) [#/Vol]"
"736-9","Lymphocytes/100 leukocytes","Bld","Qn","Lymphocytes/100 leukocytes in Blood by Automated count","%","Lymphocytes/100 WBC Auto (Bld)"
"74871-5","Rivaroxaban","PPP","Qn","Rivaroxaban [Mass/volume] in Platelet poor plasma by Chromogenic method","ng/mL","Rivaroxaban Chromogenic method (PPP) [Mass/Vol]"
"54208-4","Coagulation surface induced.factor substitution^immediately after addition of factor V depleted plasma+APC","PPP","Qn","aPTT.factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of factor V depleted plasma+APC","s","aPTT.factor substitution immediately after addition of factor V depleted plasma+APC Coag (PPP) [Time]"
"26474-7","Lymphocytes","Bld","Qn","Lymphocytes [#/volume] in Blood","10*3/uL","Lymphocytes (Bld) [#/Vol]"
"2518-9","Lactate","BldA","Qn","Lactate [Moles/volume] in Arterial blood","mmol/L","Lactate (BldA) [Moles/Vol]"
"2951-2","Sodium","Ser/Plas","Qn","Sodium [Moles/volume] in Serum or Plasma","mmol/L","Sodium [Moles/Vol]"
"14647-2","Cholesterol","Ser/Plas","Qn","Cholesterol [Moles/volume] in Serum or Plasma","mmol/L","Cholesterol [Moles/Vol]"
"14798-3","Iron","Ser/Plas","Qn","Iron [Moles/volume] in Serum or Plasma","umol/L","Iron [Moles/Vol]"
"55934-4","Triacylglycerol lipase","Dial fld","Qn","Lipase [Enzymatic activity/volume] in Dialysis fluid","U/L","Lipase (Dial fld) [Catalytic activity/Vol]"
"14165-5","Lactate","Body fld","Qn","Lactate [Moles/volume] in Body fluid","mmol/L","Lactate (Body fld) [Moles/Vol]"
"11580-8","Thyrotropin","Ser/Plas","Qn","Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L","m[IU]/L","TSH DL <= 0.005 mIU/L Qn"
"15060-7","Enolase.neuron specific","Ser/Plas","Qn","Enolase.neuron specific [Mass/volume] in Serum or Plasma","ug/L","Enolase.neuron specific [Mass/Vol]"
"25674-3","Glucose^45M post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --45 minutes post XXX challenge","mmol/L","Glucose 45 Min post Unsp challenge [Moles/Vol]"
"10633-6","Zinc","Semen","Qn","Zinc [Moles/volume] in Semen","umol/L","Zinc (Sem) [Moles/Vol]"
"2352-3","Glucose CSF/Glucose plas","Plas+CSF","Qn","Glucose in CSF/Glucose plas","","Glucose in CSF/Glucose plas (P+CSF) [Relative mass conc]"
"14316-4","Benzodiazepines","Urine","Ord","Benzodiazepines [Presence] in Urine by Screen method","","Benzodiazepines Screen Ql (U)"
"16195-0","Benzodiazepines","Urine","Ord","Benzodiazepines [Presence] in Urine by Confirmatory method","","Benzodiazepines Confirm Ql (U)"
"8149-7","Amphetamines","Ser/Plas","Ord","Amphetamines [Presence] in Serum or Plasma by Screen method","","Amphetamines Screen Ql"
"3636-8","fentaNYL","Ser/Plas","Qn","fentaNYL [Mass/volume] in Serum or Plasma","ug/mL","fentaNYL [Mass/Vol]"
"8216-4","Opiates","Meconium","Ord","Opiates [Presence] in Meconium by Screen method","","Opiates Screen Ql (Mec)"
"80636-4","Alpha-amanitin","Urine","Qn","Alpha-amanitin [Mass/volume] in Urine","ug/L","Alpha-amanitin (U) [Mass/Vol]"
"35669-1","Amikacin","Ser/Plas","Qn","Amikacin [Mass/volume] in Serum or Plasma","mg/L","Amikacin [Mass/Vol]"
"35602-2","clomiPRAMINE","Ser/Plas","Qn","clomiPRAMINE [Mass/volume] in Serum or Plasma by Screen method","ug/mL","clomiPRAMINE Screen [Mass/Vol]"
"74948-1","Fluoxetine+Norfluoxetine^trough","Ser/Plas","Qn","FLUoxetine+Norfluoxetine [Mass/volume] in Serum or Plasma --trough","ug/L","FLUoxetine+Norfluoxetine trough [Mass/Vol]"
"4083-2","Trimipramine","Ser/Plas","Qn","Trimipramine [Mass/volume] in Serum or Plasma","ng/mL","Trimipramine [Mass/Vol]"
"72659-6","OXcarbazepine^trough","Ser/Plas","Qn","OXcarbazepine [Mass/volume] in Serum or Plasma --trough","mg/L","OXcarbazepine trough [Mass/Vol]"
"10987-6","Fluconazole","Ser/Plas","Qn","Fluconazole [Mass/volume] in Serum or Plasma","ug/mL","Fluconazole [Mass/Vol]"
"6774-4","Desethylamiodarone","Ser/Plas","Qn","Desethylamiodarone [Mass/volume] in Serum or Plasma","mg/L","Desethylamiodarone [Mass/Vol]"
"3405-8","Bromazepam","Ser/Plas","Qn","Bromazepam [Mass/volume] in Serum or Plasma","ng/mL","Bromazepam [Mass/Vol]"
"34332-7","Lormetazepam","Ser/Plas","Qn","Lormetazepam [Mass/volume] in Serum or Plasma","ng/mL","Lormetazepam [Mass/Vol]"
"14955-9","Zinc","Ser/Plas","Qn","Zinc [Moles/volume] in Serum or Plasma","umol/L","Zinc [Moles/Vol]"
"16933-4","Hepatitis B virus core Ab","Ser","Ord","Hepatitis B virus core Ab [Presence] in Serum","","HBV core Ab Ql (S)"
"7883-2","Epstein Barr virus nuclear Ab.IgG","Ser","Ord","Epstein Barr virus nuclear IgG Ab [Presence] in Serum","","EBV nuclear IgG Ql (S)"
"41399-7","Herpes simplex virus 1+2 Ab.IgM","Ser","Qn","Herpes simplex virus 1+2 IgM Ab [Units/volume] in Serum by Immunoassay","{Index_val}","HSV 1+2 IgM IA Qn (S)"
"30391-7","Erythrocytes","Urine","Qn","Erythrocytes [#/volume] in Urine","/uL","RBC (U) [#/Vol]"
"99918-5","Amorphous sediment","Urine sed","Ord","Amorphous sediment [Presence] in Urine sediment by Automated","","Amorphous sediment Auto Ql (Urine sed)"
"14934-4","Urate","Urine","Qn","Urate [Moles/volume] in Urine","umol/L","Urate (U) [Moles/Vol]"
"2164-2","Creatinine renal clearance","Urine+Ser/Plas","Qn","Creatinine renal clearance in 24 hour Urine and Serum or Plasma","mL/min","Creatinine renal clearance (24H U+S/P) [Vol/Time]"
"22749-6","Amylase.pancreatic","Urine","Qn","Amylase.pancreatic [Enzymatic activity/volume] in Urine","U/L","Amylase.pancreatic (U) [Catalytic activity/Vol]"
"34366-5","Protein/Creatinine","Urine","Qn","Protein/Creatinine [Ratio] in Urine","g/mmol{creat}","Protein/Creatinine (U) [Ratio]"
"2947-0","Sodium","Bld","Qn","Sodium [Moles/volume] in Blood","mmol/L","Sodium (Bld) [Moles/Vol]"
"4548-4","Hemoglobin A1c/Hemoglobin.total","Bld","Qn","Hemoglobin A1c/Hemoglobin.total in Blood","%","HbA1c (Bld) [Mass fraction]"
"5048-4","Nuclear Ab","Ser","Qn","Nuclear Ab [Titer] in Serum by Immunofluorescence","{titer}","Nuclear Ab IF (S) [Titer]"
"20425-5","Cardiolipin Ab.IgM","Ser","Nom","Cardiolipin IgM Ab [Interpretation] in Serum","","Cardiolipin IgM (S) [Interp]"
"70138-3","Amphetamines","Urine","Qn","Amphetamines [Mass/volume] in Urine by Screen method","ng/mL","Amphetamines Screen (U) [Mass/Vol]"
"30249-7","Barbiturates","Ser/Plas","Qn","Barbiturates [Mass/volume] in Serum or Plasma by Screen method","ng/mL","Barbiturates Screen [Mass/Vol]"
"26744-3","Opiates","Meconium","Qn","Opiates [Mass/mass] in Meconium by Screen method","ng/g","Opiates Screen (Mec) [Mass/Mass]"
"33948-1","IgG/Creatinine","Urine","Qn","IgG/Creatinine [Mass Ratio] in Urine","mg/g{creat}","IgG/Creatinine (U) [Mass ratio]"
"33944-0","Immunoglobulin light chains.lambda.free","Ser/Plas","Qn","Lambda light chains.free [Mass/volume] in Serum or Plasma","mg/L","Immunoglobulin light chains.lambda.free [Mass/Vol]"
"1746-7","Albumin","CSF","Qn","Albumin [Mass/volume] in Cerebral spinal fluid","mg/dL","Albumin (CSF) [Mass/Vol]"
"14339-6","IgG/Protein.total","CSF","Qn","IgG/Protein.total in Cerebral spinal fluid","%","IgG (CSF) [Mass fraction]"
"40274-3","Cortisol^15M post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --15 minutes post XXX challenge","nmol/L","Cortisol 15 Min post Unsp challenge [Moles/Vol]"
"60071-8","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine","Ser/Plas","Qn","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Serum or Plasma","ng/mL","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/Vol]"
"22664-7","Urea","Ser/Plas","Qn","Urea [Moles/volume] in Serum or Plasma","mmol/L","Urea [Moles/Vol]"
"6768-6","Alkaline phosphatase","Ser/Plas","Qn","Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma","U/L","ALP [Catalytic activity/Vol]"
"3040-3","Triacylglycerol lipase","Ser/Plas","Qn","Lipase [Enzymatic activity/volume] in Serum or Plasma","U/L","Lipase [Catalytic activity/Vol]"
"2524-7","Lactate","Ser/Plas","Qn","Lactate [Moles/volume] in Serum or Plasma","mmol/L","Lactate [Moles/Vol]"
"82964-8","Cannabidiol","Ser/Plas/Bld","Qn","Cannabidiol [Mass/volume] in Serum, Plasma or Blood by Confirmatory method","ng/mL","Cannabidiol Confirm (S/P/Bld) [Mass/Vol]"
"14934-4","Urate","Urine","Qn","Urate [Moles/volume] in Urine","umol/L","Urate (U) [Moles/Vol]"
"32182-8","Herpes virus 6 Ab.IgM","Ser","Qn","Herpes virus 6 IgM Ab [Titer] in Serum","{titer}","HHV 6 IgM (S) [Titer]"
"49397-3","Herpes virus 7 DNA","Ser/Plas","Qn","Herpes virus 7 DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection","{copies}/mL","HHV 7 DNA NAA+probe [#/Vol]"
"88894-1","Brivaracetam","Ser/Plas","Qn","Brivaracetam [Mass/volume] in Serum or Plasma","ng/mL","Brivaracetam [Mass/Vol]"
"14212-5","Hepatitis E virus Ab.IgM","Ser","Ord","Hepatitis E virus IgM Ab [Presence] in Serum","","HEV IgM Ql (S)"
"95209-3","SARS coronavirus+SARS coronavirus 2 Ag","Respiratory","Ord","SARS-CoV+SARS-CoV-2 (COVID-19) Ag [Presence] in Respiratory specimen by Rapid immunoassay","","SARS-CoV+SARS-CoV-2 (COVID-19) Ag IA.rapid Ql (Resp)"
"83090-1","Cortisol","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma by Immunoassay","nmol/L","Cortisol IA [Moles/Vol]"
"97104-4","SARS coronavirus 2 ORF1ab region","Respiratory.upper","Qn","SARS-CoV-2 (COVID-19) ORF1ab region [Units/volume] (viral load) in Upper respiratory specimen by NAA with probe detection","[IU]/mL","SARS-CoV-2 (COVID-19) ORF1ab region NAA+probe Qn (Upper resp)"
"100156-9","SARS coronavirus 2 variant","XXX","Nom","SARS-CoV-2 (COVID-19) variant [Type] in Specimen by NAA with probe detection","","SARS-CoV-2 (COVID-19) variant NAA+probe Nom (Specimen)"
"17788-1","Large unstained cells/100 leukocytes","Bld","Qn","Large unstained cells/100 leukocytes in Blood by Automated count","%","Large unstained cells/100 WBC Auto (Bld)"
"14798-3","Iron","Ser/Plas","Qn","Iron [Moles/volume] in Serum or Plasma","umol/L","Iron [Moles/Vol]"
"83106-5","Myoglobin","Ser/Plas","Qn","Myoglobin [Mass/volume] in Serum or Plasma by Immunoassay","ug/L","Myoglobin IA [Mass/Vol]"
"8172-9","Cannabinoids","Ser/Plas","Ord","Cannabinoids [Presence] in Serum or Plasma by Screen method","","Cannabinoids Screen Ql"
"1977-8","Bilirubin","Urine","Ord","Bilirubin.total [Presence] in Urine","","Bilirubin Ql (U)"
"33903-6","Ketones","Urine","Ord","Ketones [Presence] in Urine","","Ketones Ql (U)"
"30405-5","Leukocytes","Urine","Qn","Leukocytes [#/volume] in Urine","/uL","WBC (U) [#/Vol]"
"8189-3","Benzoylecgonine","Meconium","Ord","Benzoylecgonine [Presence] in Meconium by Screen method","","Benzoylecgonine Screen Ql (Mec)"
"39469-2","Cholesterol.in LDL","Ser/Plas","Qn","Cholesterol in LDL [Moles/volume] in Serum or Plasma by calculation","mmol/L","Cholesterol in LDL Calc [Moles/Vol]"
"15060-7","Enolase.neuron specific","Ser/Plas","Qn","Enolase.neuron specific [Mass/volume] in Serum or Plasma","ug/L","Enolase.neuron specific [Mass/Vol]"
"43983-6","Amphetamines","Urine","Ord","Amphetamines [Presence] in Urine by Screen method >500 ng/mL","","Amphetamines Screen method >500 ng/mL Ql (U)"
"70149-0","Methadone","Urine","Ord","Methadone [Presence] in Urine by Screen method >300 ng/mL","","Methadone Screen method >300 ng/mL Ql (U)"
"721-1","Hemoglobin.free","Plas","Qn","Free Hemoglobin [Mass/volume] in Plasma","mg/L","Free Hemoglobin (P) [Mass/Vol]"
"14979-9","Coagulation surface induced","PPP","Qn","aPTT in Platelet poor plasma by Coagulation assay","s","aPTT Coag (PPP) [Time]"
"2744-1","pH","BldA","Qn","pH of Arterial blood","[pH]","pH (BldA)"
"74985-3","ALPRAZolam^trough","Ser/Plas","Qn","ALPRAZolam [Mass/volume] in Serum or Plasma --trough","ug/L","ALPRAZolam trough [Mass/Vol]"
"39481-7","Glucose","BldA","Qn","Glucose [Moles/volume] in Arterial blood","mmol/L","Glucose (BldA) [Moles/Vol]"
"16195-0","Benzodiazepines","Urine","Ord","Benzodiazepines [Presence] in Urine by Confirmatory method","","Benzodiazepines Confirm Ql (U)"
"22700-9","Urea","Urine","Qn","Urea [Moles/volume] in Urine","mmol/L","Urea (U) [Moles/Vol]"
"16199-2","Methadone","Urine","Ord","Methadone [Presence] in Urine by Confirmatory method","","Methadone Confirm Ql (U)"
